,,50.80%,41.40%,32.50%,,,,32.50%,,
1936,Add Minimum Number of Rungs,42.50%,Medium,24.90%,41.40%,28.16%,2,2.563,,
2121,Intervals Between Identical Elements,42.50%,Medium,24.90%,41.40%,28.16%,2,2.563,,
465,Optimal Account Balancing,49.10%,Hard,42.28%,32.50%,-14.49%,3,2.565,,1
954,Array of Doubled Pairs,38.80%,Medium,24.81%,41.40%,28.31%,2,2.566,,
1621,Number of Sets of K Non-Overlapping Line Segments,42.40%,Medium,24.80%,41.40%,28.33%,2,2.567,,
2050,Parallel Courses III,59.80%,Hard,42.20%,32.50%,-14.37%,3,2.569,,
810,Chalkboard XOR Game,54.00%,Hard,42.12%,32.50%,-14.25%,3,2.572,,
402,Remove K Digits,30.50%,Medium,24.60%,41.40%,28.66%,2,2.573,,
85,Maximal Rectangle,43.20%,Hard,41.95%,32.50%,-14.00%,3,2.580,,
1785,Minimum Elements to Add to Form a Given Sum,42.00%,Medium,24.40%,41.40%,29.01%,2,2.580,,
1926,Nearest Exit from Entrance in Maze,42.00%,Medium,24.40%,41.40%,29.01%,2,2.580,,
2017,Grid Game,42.00%,Medium,24.40%,41.40%,29.01%,2,2.580,,
123,Best Time to Buy and Sell Stock III,43.70%,Hard,41.90%,32.50%,-13.92%,3,2.582,,
787,Cheapest Flights Within K Stops,35.90%,Medium,24.36%,41.40%,29.08%,2,2.582,,
548,Split Array with Equal Sum,49.90%,Hard,41.86%,32.50%,-13.87%,3,2.584,,1
60,Permutation Sequence,42.70%,Hard,41.82%,32.50%,-13.81%,3,2.586,,
2090,K Radius Subarray Averages,41.80%,Medium,24.20%,41.40%,29.35%,2,2.587,,
625,Minimum Factorization,33.30%,Medium,24.13%,41.40%,29.47%,2,2.589,,1
1959,Minimum Total Space Wasted With K Resizing Operations,41.70%,Medium,24.10%,41.40%,29.52%,2,2.590,,
1835,Find XOR Sum of All Pairs Bitwise AND,59.30%,Hard,41.70%,32.50%,-13.63%,3,2.591,,
708,Insert into a Sorted Circular Linked List,34.40%,Medium,24.02%,41.40%,29.67%,2,2.593,,1
918,Maximum Sum Circular Subarray,37.50%,Medium,24.04%,41.40%,29.63%,2,2.593,,
1562,Find Latest Group of Size M,41.50%,Medium,23.90%,41.40%,29.86%,2,2.597,,
1834,Single-Threaded CPU,41.50%,Medium,23.90%,41.40%,29.86%,2,2.597,,
2171,Removing Minimum Number of Magic Beans,41.50%,Medium,23.90%,41.40%,29.86%,2,2.597,,
668,Kth Smallest Number in Multiplication Table,51.30%,Hard,41.50%,32.50%,-13.34%,3,2.600,,
837,New 21 Game,36.10%,Medium,23.82%,41.40%,29.99%,2,2.600,,
1948,Delete Duplicate Folders in System,59.00%,Hard,41.40%,32.50%,-13.19%,3,2.604,,
686,Repeated String Match,33.70%,Medium,23.64%,41.40%,30.31%,2,2.606,,
2135,Count Words Obtained After Adding a Letter,41.20%,Medium,23.60%,41.40%,30.38%,2,2.608,,
678,Valid Parenthesis String,33.50%,Medium,23.56%,41.40%,30.45%,2,2.609,,
794,Valid Tic-Tac-Toe State,35.20%,Medium,23.55%,41.40%,30.45%,2,2.609,,
1159,Market Analysis II,58.30%,Hard,41.30%,32.50%,-13.04%,3,2.609,Sql,1
726,Number of Atoms,51.90%,Hard,41.25%,32.50%,-12.97%,3,2.611,,
1778,Shortest Path in a Hidden Grid,41.10%,Medium,23.50%,41.40%,30.55%,2,2.611,,1
407,Trapping Rain Water II,47.20%,Hard,41.23%,32.50%,-12.93%,3,2.612,,
601,Human Traffic of Stadium,50.00%,Hard,41.19%,32.50%,-12.87%,3,2.614,Sql,
1186,Maximum Subarray Sum with One Deletion,40.80%,Medium,23.41%,41.40%,30.71%,2,2.614,,
1361,Validate Binary Tree Nodes,41.00%,Medium,23.40%,41.40%,30.72%,2,2.614,,
1733,Minimum Number of People to Teach,41.00%,Medium,23.40%,41.40%,30.72%,2,2.614,,
711,Number of Distinct Islands II,51.60%,Hard,41.17%,32.50%,-12.85%,3,2.615,,1
834,Sum of Distances in Tree,53.40%,Hard,41.17%,32.50%,-12.84%,3,2.615,,
1390,Four Divisors,40.90%,Medium,23.30%,41.40%,30.89%,2,2.618,,
1626,Best Team With No Conflicts,40.90%,Medium,23.30%,41.40%,30.89%,2,2.618,,
1814,Count Nice Pairs in an Array,40.90%,Medium,23.30%,41.40%,30.89%,2,2.618,,
2158,Amount of New Area Painted Each Day,58.70%,Hard,41.10%,32.50%,-12.74%,3,2.618,,1
2211,Count Collisions on a Road,40.90%,Medium,23.30%,41.40%,30.89%,2,2.618,,
154,Find Minimum in Rotated Sorted Array II,43.30%,Hard,41.04%,32.50%,-12.65%,3,2.620,,
898,Bitwise ORs of Subarrays,36.40%,Medium,23.23%,41.40%,31.01%,2,2.620,,
768,Max Chunks To Make Sorted II,52.30%,Hard,41.04%,32.50%,-12.65%,3,2.621,,
2146,K Highest Ranked Items Within a Price Range,40.80%,Medium,23.20%,41.40%,31.06%,2,2.621,,
115,Distinct Subsequences,42.70%,Hard,41.01%,32.50%,-12.61%,3,2.622,,
850,Rectangle Area II,53.40%,Hard,40.93%,32.50%,-12.49%,3,2.625,,
1465,Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,40.70%,Medium,23.10%,41.40%,31.23%,2,2.625,,
2036,Maximum Alternating Subarray Sum,40.70%,Medium,23.10%,41.40%,31.23%,2,2.625,,1
2056,Number of Valid Move Combinations On Chessboard,58.50%,Hard,40.90%,32.50%,-12.44%,3,2.627,,
464,Can I Win,29.80%,Medium,22.99%,41.40%,31.41%,2,2.628,,
140,Word Break II,42.90%,Hard,40.85%,32.50%,-12.37%,3,2.629,,
2101,Detonate the Maximum Bombs,40.50%,Medium,22.90%,41.40%,31.57%,2,2.631,,
2233,Maximum Product After K Increments,40.50%,Medium,22.90%,41.40%,31.57%,2,2.631,,
2327,Number of People Aware of a Secret,40.50%,Medium,22.90%,41.40%,31.57%,2,2.631,,
1092,Shortest Common Supersequence,56.80%,Hard,40.78%,32.50%,-12.27%,3,2.632,,
192,Word Frequency,25.60%,Medium,22.78%,41.40%,31.77%,2,2.635,Shell,
1519,Number of Nodes in the Sub-Tree With the Same Label,40.30%,Medium,22.70%,41.40%,31.91%,2,2.638,,
1250,Check If It Is a Good Array,58.20%,Hard,40.60%,32.50%,-12.00%,3,2.640,,
1386,Cinema Seat Allocation,40.20%,Medium,22.60%,41.40%,32.08%,2,2.642,,
736,Parse Lisp Expression,51.30%,Hard,40.51%,32.50%,-11.86%,3,2.644,,
1497,Check If Array Pairs Are Divisible by k,40.10%,Medium,22.50%,41.40%,32.25%,2,2.645,,
782,Transform to Chessboard,51.90%,Hard,40.43%,32.50%,-11.75%,3,2.648,,
2065,Maximum Path Quality of a Graph,58.00%,Hard,40.40%,32.50%,-11.70%,3,2.649,,
1197,Minimum Knight Moves,39.90%,Medium,22.34%,41.40%,32.52%,2,2.650,,1
194,Transpose File,25.10%,Medium,22.25%,41.40%,32.67%,2,2.653,Shell,
2292,Products With Three or More Orders in Two Consecutive Years,39.80%,Medium,22.20%,41.40%,32.76%,2,2.655,Sql,1
84,Largest Rectangle in Histogram,41.20%,Hard,39.97%,32.50%,-11.06%,3,2.668,,
936,Stamping The Sequence,53.70%,Hard,39.97%,32.50%,-11.07%,3,2.668,,
1577,Number of Ways Where Square of Number Is Equal to Product of Two Numbers,39.40%,Medium,21.80%,41.40%,33.45%,2,2.669,,
1864,Minimum Number of Swaps to Make the Binary String Alternating,39.40%,Medium,21.80%,41.40%,33.45%,2,2.669,,
1942,The Number of the Smallest Unoccupied Chair,39.40%,Medium,21.80%,41.40%,33.45%,2,2.669,,
2118,Build the Equation,57.50%,Hard,39.90%,32.50%,-10.96%,3,2.671,Sql,1
588,Design In-Memory File System,48.50%,Hard,39.88%,32.50%,-10.93%,3,2.672,,1
2131,Longest Palindrome by Concatenating Two Letter Words,39.20%,Medium,21.60%,41.40%,33.79%,2,2.676,,
1786,Number of Restricted Paths From First to Last Node,39.10%,Medium,21.50%,41.40%,33.96%,2,2.679,,
949,Largest Time for Given Digits,35.40%,Medium,21.48%,41.40%,33.99%,2,2.680,,
1591,Strange Printer II,57.30%,Hard,39.70%,32.50%,-10.67%,3,2.680,,
1931,Painting a Grid With Three Different Colors,57.30%,Hard,39.70%,32.50%,-10.67%,3,2.680,,
1498,Number of Subsequences That Satisfy the Given Sum Condition,39.00%,Medium,21.40%,41.40%,34.13%,2,2.683,,
166,Fraction to Recurring Decimal,23.80%,Medium,21.37%,41.40%,34.19%,2,2.684,,
1575,Count All Possible Routes,57.20%,Hard,39.60%,32.50%,-10.52%,3,2.684,,
2010,The Number of Seniors and Juniors to Join the Company II,57.00%,Hard,39.40%,32.50%,-10.22%,3,2.693,Sql,1
164,Maximum Gap,41.80%,Hard,39.39%,32.50%,-10.21%,3,2.694,,
546,Remove Boxes,47.40%,Hard,39.39%,32.50%,-10.21%,3,2.694,,
774,Minimize Max Distance to Gas Station,50.70%,Hard,39.35%,32.50%,-10.15%,3,2.696,,1
749,Contain Virus,50.30%,Hard,39.31%,32.50%,-10.10%,3,2.697,,
1548,The Most Similar Path in a Graph,56.90%,Hard,39.30%,32.50%,-10.07%,3,2.698,,1
1882,Process Tasks Using Servers,38.50%,Medium,20.90%,41.40%,34.98%,2,2.700,,
857,Minimum Cost to Hire K Workers,51.80%,Hard,39.23%,32.50%,-9.97%,3,2.701,,
1097,Game Play Analysis V,55.30%,Hard,39.21%,32.50%,-9.94%,3,2.702,Sql,1
1674,Minimum Moves to Make Array Complementary,38.40%,Medium,20.80%,41.40%,35.15%,2,2.703,,
2007,Find Original Array From Doubled Array,38.40%,Medium,20.80%,41.40%,35.15%,2,2.703,,
2098,Subsequence of Size K With the Largest Even Sum,38.30%,Medium,20.70%,41.40%,35.32%,2,2.706,,1
288,Unique Word Abbreviation,24.90%,Medium,20.68%,41.40%,35.37%,2,2.707,,1
642,Design Search Autocomplete System,48.50%,Hard,39.08%,32.50%,-9.75%,3,2.707,,1
907,Sum of Subarray Minimums,34.00%,Medium,20.70%,41.40%,35.33%,2,2.707,,
1454,Active Users,38.20%,Medium,20.60%,41.40%,35.49%,2,2.710,Sql,1
1898,Maximum Number of Removable Characters,38.20%,Medium,20.60%,41.40%,35.49%,2,2.710,,
1922,Count Good Numbers,38.20%,Medium,20.60%,41.40%,35.49%,2,2.710,,
1231,Divide Chocolate,56.60%,Hard,39.00%,32.50%,-9.63%,3,2.711,,1
514,Freedom Trail,46.50%,Hard,38.96%,32.50%,-9.57%,3,2.713,,
992,Subarrays with K Different Integers,53.50%,Hard,38.95%,32.50%,-9.56%,3,2.713,,
679,24 Game,48.90%,Hard,38.94%,32.50%,-9.54%,3,2.714,,
1073,Adding Two Negabinary Numbers,36.20%,Medium,20.46%,41.40%,35.73%,2,2.715,,
955,Delete Columns to Make Sorted II,34.40%,Medium,20.39%,41.40%,35.85%,2,2.717,,
1146,Snapshot Array,37.20%,Medium,20.39%,41.40%,35.85%,2,2.717,,
1953,Maximum Number of Weeks for Which You Can Work,38.00%,Medium,20.40%,41.40%,35.84%,2,2.717,,
158,Read N Characters Given read4 II - Call Multiple Times,41.10%,Hard,38.78%,32.50%,-9.31%,3,2.721,,1
499,The Maze III,46.10%,Hard,38.78%,32.50%,-9.31%,3,2.721,,1
1921,Eliminate Maximum Number of Monsters,37.80%,Medium,20.20%,41.40%,36.18%,2,2.724,,
1177,Can Make Palindrome from Substring,37.40%,Medium,20.14%,41.40%,36.28%,2,2.726,,
1658,Minimum Operations to Reduce X to Zero,37.70%,Medium,20.10%,41.40%,36.35%,2,2.727,,
2241,Design an ATM Machine,37.70%,Medium,20.10%,41.40%,36.35%,2,2.727,,
1220,Count Vowels Permutation,56.20%,Hard,38.60%,32.50%,-9.04%,3,2.729,,
317,Shortest Distance from All Buildings,43.20%,Hard,38.55%,32.50%,-8.96%,3,2.731,,1
1335,Minimum Difficulty of a Job Schedule,56.10%,Hard,38.50%,32.50%,-8.89%,3,2.733,,
2173,Longest Winning Streak,56.10%,Hard,38.50%,32.50%,-8.89%,3,2.733,Sql,1
689,Maximum Sum of 3 Non-Overlapping Subarrays,48.60%,Hard,38.49%,32.50%,-8.88%,3,2.734,,
1838,Frequency of the Most Frequent Element,37.50%,Medium,19.90%,41.40%,36.69%,2,2.734,,
2320,Count Number of Ways to Place Houses,37.50%,Medium,19.90%,41.40%,36.69%,2,2.734,,
910,Smallest Range II,33.20%,Medium,19.85%,41.40%,36.77%,2,2.735,,
2316,Count Unreachable Pairs of Nodes in an Undirected Graph,37.40%,Medium,19.80%,41.40%,36.86%,2,2.737,,
1259,Handshakes That Don't Cross,56.00%,Hard,38.40%,32.50%,-8.74%,3,2.738,,1
2252,Dynamic Pivoting of a Table,56.00%,Hard,38.40%,32.50%,-8.74%,3,2.738,Sql,1
523,Continuous Subarray Sum,27.40%,Medium,19.73%,41.40%,36.98%,2,2.740,,
1888,Minimum Number of Flips to Make the Binary String Alternating,37.30%,Medium,19.70%,41.40%,37.03%,2,2.741,,
76,Minimum Window Substring,39.40%,Hard,38.29%,32.50%,-8.57%,3,2.743,,
1620,Coordinate With Maximum Network Quality,37.20%,Medium,19.60%,41.40%,37.20%,2,2.744,,
1665,Minimum Initial Energy to Finish Tasks,55.80%,Hard,38.20%,32.50%,-8.44%,3,2.747,,
468,Validate IP Address,26.30%,Medium,19.44%,41.40%,37.48%,2,2.750,,
1547,Minimum Cost to Cut a Stick,55.70%,Hard,38.10%,32.50%,-8.30%,3,2.751,,
2080,Range Frequency Queries,37.00%,Medium,19.40%,41.40%,37.54%,2,2.751,,
828,Count Unique Characters of All Substrings of a Given String,50.20%,Hard,38.06%,32.50%,-8.23%,3,2.753,,
1477,Find Two Non-overlapping Sub-arrays Each With Target Sum,36.90%,Medium,19.30%,41.40%,37.71%,2,2.754,,
1589,Maximum Sum Obtained of Any Permutation,36.80%,Medium,19.20%,41.40%,37.88%,2,2.758,,
1705,Maximum Number of Eaten Apples,36.80%,Medium,19.20%,41.40%,37.88%,2,2.758,,
1870,Minimum Speed to Arrive on Time,36.70%,Medium,19.10%,41.40%,38.05%,2,2.761,,
248,Strobogrammatic Number III,41.50%,Hard,37.86%,32.50%,-7.94%,3,2.762,,1
444,Sequence Reconstruction,25.60%,Medium,19.09%,41.40%,38.08%,2,2.762,,1
1751,Maximum Number of Events That Can Be Attended II,55.40%,Hard,37.80%,32.50%,-7.85%,3,2.764,,
1866,Number of Ways to Rearrange Sticks With K Sticks Visible,55.40%,Hard,37.80%,32.50%,-7.85%,3,2.764,,
1234,Replace the Substring for Balanced String,36.60%,Medium,19.00%,41.40%,38.23%,2,2.765,,
1856,Maximum Subarray Min-Product,36.50%,Medium,18.90%,41.40%,38.40%,2,2.768,,
1444,Number of Ways of Cutting a Pizza,55.30%,Hard,37.70%,32.50%,-7.70%,3,2.769,,
1478,Allocate Mailboxes,55.30%,Hard,37.70%,32.50%,-7.70%,3,2.769,,
2162,Minimum Cost to Set Cooking Time,36.40%,Medium,18.80%,41.40%,38.57%,2,2.771,,
2014,Longest Subsequence Repeated k Times,55.10%,Hard,37.50%,32.50%,-7.41%,3,2.778,,
220,Contains Duplicate III,21.70%,Medium,18.47%,41.40%,39.12%,2,2.782,,
224,Basic Calculator,40.70%,Hard,37.41%,32.50%,-7.28%,3,2.782,,
1881,Maximum Value after Insertion,36.10%,Medium,18.50%,41.40%,39.08%,2,2.782,,
315,Count of Smaller Numbers After Self,42.00%,Hard,37.38%,32.50%,-7.23%,3,2.783,,
1574,Shortest Subarray to be Removed to Make Array Sorted,36.00%,Medium,18.40%,41.40%,39.25%,2,2.785,,
882,Reachable Nodes In Subdivided Graph,50.20%,Hard,37.26%,32.50%,-7.06%,3,2.788,,
1937,Maximum Number of Points with Cost,35.90%,Medium,18.30%,41.40%,39.42%,2,2.788,,
403,Frog Jump,43.10%,Hard,37.19%,32.50%,-6.95%,3,2.792,,
2145,Count the Hidden Sequences,35.80%,Medium,18.20%,41.40%,39.59%,2,2.792,,
308,Range Sum Query 2D - Mutable,41.60%,Hard,37.08%,32.50%,-6.79%,3,2.796,,1
2262,Total Appeal of A String,54.70%,Hard,37.10%,32.50%,-6.81%,3,2.796,,
502,IPO,44.40%,Hard,37.04%,32.50%,-6.72%,3,2.798,,
1996,The Number of Weak Characters in the Game,35.60%,Medium,18.00%,41.40%,39.93%,2,2.799,,
1124,Longest Well-Performing Interval,34.40%,Medium,17.91%,41.40%,40.08%,2,2.802,,
1997,First Day Where You Have Been in All the Rooms,35.50%,Medium,17.90%,41.40%,40.10%,2,2.802,,
798,Smallest Rotation with Highest Score,48.60%,Hard,36.90%,32.50%,-6.51%,3,2.805,,
1192,Critical Connections in a Network,54.30%,Hard,36.82%,32.50%,-6.40%,3,2.808,,
2256,Minimum Average Difference,35.30%,Medium,17.70%,41.40%,40.44%,2,2.809,,
472,Concatenated Words,43.70%,Hard,36.78%,32.50%,-6.34%,3,2.810,,
664,Strange Printer,46.50%,Hard,36.76%,32.50%,-6.31%,3,2.811,,
1487,Making File Names Unique,35.20%,Medium,17.60%,41.40%,40.61%,2,2.812,,
2226,Maximum Candies Allocated to K Children,35.20%,Medium,17.60%,41.40%,40.61%,2,2.812,,
920,Number of Music Playlists,50.20%,Hard,36.71%,32.50%,-6.23%,3,2.813,,
1924,Erect the Fence II,54.30%,Hard,36.70%,32.50%,-6.22%,3,2.813,,1
1770,Maximum Score from Performing Multiplication Operations,35.10%,Medium,17.50%,41.40%,40.78%,2,2.816,,
2318,Number of Distinct Roll Sequences,54.20%,Hard,36.60%,32.50%,-6.07%,3,2.818,,
772,Basic Calculator III,47.90%,Hard,36.58%,32.50%,-6.04%,3,2.819,,1
1691,Maximum Height by Stacking Cuboids,54.10%,Hard,36.50%,32.50%,-5.93%,3,2.822,,
1842,Next Palindrome Using Same Digits,54.10%,Hard,36.50%,32.50%,-5.93%,3,2.822,,1
691,Stickers to Spell Word,46.60%,Hard,36.47%,32.50%,-5.87%,3,2.824,,
995,Minimum Number of K Consecutive Bit Flips,51.00%,Hard,36.41%,32.50%,-5.79%,3,2.826,,
1737,Change Minimum Characters to Satisfy One of Three Conditions,34.80%,Medium,17.20%,41.40%,41.30%,2,2.826,,
1896,Minimum Cost to Change the Final Value of Expression,54.00%,Hard,36.40%,32.50%,-5.78%,3,2.827,,
1972,First and Last Call On the Same Day,54.00%,Hard,36.40%,32.50%,-5.78%,3,2.827,Sql,1
1132,Reported Posts II,33.70%,Medium,17.10%,41.40%,41.47%,2,2.829,Sql,1
29,Divide Two Integers,17.50%,Medium,17.07%,41.40%,41.51%,2,2.830,,
568,Maximum Vacation Days,44.60%,Hard,36.27%,32.50%,-5.58%,3,2.832,,1
1032,Stream of Characters,51.40%,Hard,36.26%,32.50%,-5.58%,3,2.833,,
2311,Longest Binary Subsequence Less Than or Equal to K,34.60%,Medium,17.00%,41.40%,41.64%,2,2.833,,
2076,Process Restricted Friend Requests,53.80%,Hard,36.20%,32.50%,-5.48%,3,2.836,,
2245,Maximum Trailing Zeros in a Cornered Path,34.50%,Medium,16.90%,41.40%,41.81%,2,2.836,,
571,Find Median Given Frequency of Numbers,44.50%,Hard,36.13%,32.50%,-5.37%,3,2.839,Sql,1
1240,Tiling a Rectangle with the Fewest Squares,53.70%,Hard,36.10%,32.50%,-5.33%,3,2.840,,
2217,Find Palindrome With Fixed Length,34.40%,Medium,16.80%,41.40%,41.98%,2,2.840,,
124,Binary Tree Maximum Path Sum,37.90%,Hard,36.08%,32.50%,-5.31%,3,2.841,,
707,Design Linked List,27.10%,Medium,16.73%,41.40%,42.10%,2,2.842,,
1946,Largest Number After Mutating Substring,34.20%,Medium,16.60%,41.40%,42.32%,2,2.846,,
8,String to Integer (atoi),16.60%,Medium,16.48%,41.40%,42.52%,2,2.850,,
218,The Skyline Problem,39.00%,Hard,35.80%,32.50%,-4.89%,3,2.853,,
1635,Hopper Company Queries I,53.30%,Hard,35.70%,32.50%,-4.74%,3,2.858,Sql,1
41,First Missing Positive,36.20%,Hard,35.60%,32.50%,-4.59%,3,2.862,,
332,Reconstruct Itinerary,40.40%,Hard,35.53%,32.50%,-4.49%,3,2.865,,
135,Candy,37.40%,Hard,35.42%,32.50%,-4.33%,3,2.870,,
579,Find Cumulative Salary of an Employee,43.90%,Hard,35.41%,32.50%,-4.31%,3,2.871,Sql,1
1489,Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree,53.00%,Hard,35.40%,32.50%,-4.30%,3,2.871,,
1776,Car Fleet II,52.90%,Hard,35.30%,32.50%,-4.15%,3,2.876,,
2321,Maximum Score Of Spliced Array,52.90%,Hard,35.30%,32.50%,-4.15%,3,2.876,,
1353,Maximum Number of Events That Can Be Attended,33.30%,Medium,15.70%,41.40%,43.86%,2,2.877,,
1594,Maximum Non Negative Product in a Matrix,33.10%,Medium,15.50%,41.40%,44.20%,2,2.884,,
282,Expression Add Operators,39.20%,Hard,35.06%,32.50%,-3.80%,3,2.886,,
1969,Minimum Non-Zero Product of the Array Elements,33.00%,Medium,15.40%,41.40%,44.37%,2,2.887,,
2170,Minimum Operations to Make the Array Alternating,33.00%,Medium,15.40%,41.40%,44.37%,2,2.887,,
305,Number of Islands II,39.50%,Hard,35.03%,32.50%,-3.74%,3,2.888,,1
880,Decoded String at Index,28.30%,Medium,15.39%,41.40%,44.38%,2,2.888,,
363,Max Sum of Rectangle No Larger Than K,40.20%,Hard,34.88%,32.50%,-3.52%,3,2.894,,
1540,Can Convert String in K Moves,32.80%,Medium,15.20%,41.40%,44.71%,2,2.894,,
1813,Sentence Similarity III,32.80%,Medium,15.20%,41.40%,44.71%,2,2.894,,
1976,Number of Ways to Arrive at Destination,32.80%,Medium,15.20%,41.40%,44.71%,2,2.894,,
330,Patching Array,39.70%,Hard,34.86%,32.50%,-3.50%,3,2.895,,
68,Text Justification,35.80%,Hard,34.80%,32.50%,-3.41%,3,2.898,,
716,Max Stack,45.30%,Hard,34.80%,32.50%,-3.41%,3,2.898,,1
1675,Minimize Deviation in Array,52.40%,Hard,34.80%,32.50%,-3.41%,3,2.898,,
1987,Number of Unique Good Subsequences,52.40%,Hard,34.80%,32.50%,-3.41%,3,2.898,,
2250,Count Number of Rectangles Containing Each Point,32.60%,Medium,15.00%,41.40%,45.05%,2,2.901,,
1793,Maximum Score of a Good Subarray,52.30%,Hard,34.70%,32.50%,-3.26%,3,2.902,,
1127,User Purchase Platform,51.20%,Hard,34.67%,32.50%,-3.22%,3,2.904,Sql,1
1744,Can You Eat Your Favorite Candy on Your Favorite Day?,32.50%,Medium,14.90%,41.40%,45.22%,2,2.904,,
1981,Minimize the Difference Between Target and Chosen Elements,32.50%,Medium,14.90%,41.40%,45.22%,2,2.904,,
587,Erect the Fence,43.20%,Hard,34.59%,32.50%,-3.10%,3,2.907,,
1872,Stone Game VIII,52.20%,Hard,34.60%,32.50%,-3.11%,3,2.907,,
87,Scramble String,35.80%,Hard,34.52%,32.50%,-3.00%,3,2.910,,
996,Number of Squareful Arrays,49.10%,Hard,34.49%,32.50%,-2.95%,3,2.911,,
1986,Minimum Number of Work Sessions to Finish the Tasks,32.30%,Medium,14.70%,41.40%,45.56%,2,2.911,,
212,Word Search II,37.60%,Hard,34.49%,32.50%,-2.95%,3,2.912,,
4,Median of Two Sorted Arrays,34.50%,Hard,34.44%,32.50%,-2.88%,3,2.914,,
1573,Number of Ways to Split a String,32.20%,Medium,14.60%,41.40%,45.73%,2,2.915,,
1194,Tournament Winners,51.90%,Hard,34.39%,32.50%,-2.80%,3,2.916,Sql,1
174,Dungeon Game,36.80%,Hard,34.25%,32.50%,-2.59%,3,2.922,,
262,Trips and Users,38.10%,Hard,34.26%,32.50%,-2.60%,3,2.922,Sql,
1712,Ways to Split Array Into Three Subarrays,32.00%,Medium,14.40%,41.40%,46.08%,2,2.922,,
1579,Remove Max Number of Edges to Keep Graph Fully Traversable,51.80%,Hard,34.20%,32.50%,-2.52%,3,2.924,,
2207,Maximize Number of Subsequences in a String,31.90%,Medium,14.30%,41.40%,46.25%,2,2.925,,
839,Similar String Groups,46.40%,Hard,34.09%,32.50%,-2.36%,3,2.929,,
1900,The Earliest and Latest Rounds Where Players Compete,51.70%,Hard,34.10%,32.50%,-2.37%,3,2.929,,
665,Non-decreasing Array,23.90%,Medium,14.15%,41.40%,46.51%,2,2.930,,
480,Sliding Window Median,41.10%,Hard,34.06%,32.50%,-2.31%,3,2.931,,
1849,Splitting a String Into Descending Consecutive Values,31.60%,Medium,14.00%,41.40%,46.76%,2,2.935,,
127,Word Ladder,35.80%,Hard,33.94%,32.50%,-2.13%,3,2.936,,
1724,Checking Existence of Edge Length Limited Paths II,51.50%,Hard,33.90%,32.50%,-2.07%,3,2.938,,1
2251,Number of Flowers in Full Bloom,51.50%,Hard,33.90%,32.50%,-2.07%,3,2.938,,
699,Falling Squares,44.10%,Hard,33.85%,32.50%,-2.00%,3,2.940,,
2153,The Number of Passengers in Each Bus II,51.40%,Hard,33.80%,32.50%,-1.93%,3,2.942,Sql,1
730,Count Different Palindromic Subsequences,44.50%,Hard,33.79%,32.50%,-1.92%,3,2.943,,
1616,Split Two Strings to Make Palindrome,31.30%,Medium,13.70%,41.40%,47.27%,2,2.945,,
1336,Number of Transactions per Visit,51.30%,Hard,33.70%,32.50%,-1.78%,3,2.947,Sql,1
2116,Check if a Parentheses String Can Be Valid,31.20%,Medium,13.60%,41.40%,47.44%,2,2.949,,
715,Range Module,44.10%,Hard,33.61%,32.50%,-1.65%,3,2.951,,
1739,Building Boxes,51.20%,Hard,33.60%,32.50%,-1.63%,3,2.951,,
354,Russian Doll Envelopes,38.70%,Hard,33.51%,32.50%,-1.49%,3,2.955,,
1473,Paint House III,51.10%,Hard,33.50%,32.50%,-1.48%,3,2.956,,
1802,Maximum Value at a Given Index in a Bounded Array,31.00%,Medium,13.40%,41.40%,47.78%,2,2.956,,
2143,Choose Numbers From Two Arrays in Range,51.10%,Hard,33.50%,32.50%,-1.48%,3,2.956,,1
631,Design Excel Sum Formula,42.70%,Hard,33.45%,32.50%,-1.40%,3,2.958,,1
815,Bus Routes,45.40%,Hard,33.45%,32.50%,-1.40%,3,2.958,,
1648,Sell Diminishing-Valued Colored Balls,30.90%,Medium,13.30%,41.40%,47.95%,2,2.959,,
964,Least Operators to Express Number,47.50%,Hard,33.36%,32.50%,-1.28%,3,2.962,,
2166,Design Bitset,30.80%,Medium,13.20%,41.40%,48.12%,2,2.962,,
866,Prime Palindrome,25.90%,Medium,13.20%,41.40%,48.13%,2,2.963,,
1235,Maximum Profit in Job Scheduling,50.90%,Hard,33.30%,32.50%,-1.19%,3,2.964,,
1714,Sum Of Special Evenly-Spaced Elements In Array,50.90%,Hard,33.30%,32.50%,-1.19%,3,2.964,,1
1955,Count Number of Special Subsequences,50.90%,Hard,33.30%,32.50%,-1.19%,3,2.964,,
2187,Minimum Time to Complete Trips,30.70%,Medium,13.10%,41.40%,48.29%,2,2.966,,
1601,Maximum Number of Achievable Transfer Requests,50.80%,Hard,33.20%,32.50%,-1.04%,3,2.969,,
2247,Maximum Cost of Trip With K Highways,50.80%,Hard,33.20%,32.50%,-1.04%,3,2.969,,1
1169,Invalid Transactions,30.10%,Medium,12.95%,41.40%,48.54%,2,2.971,,
2271,Maximum White Tiles Covered by a Carpet,30.50%,Medium,12.90%,41.40%,48.63%,2,2.973,,
411,Minimum Unique Word Abbreviation,39.10%,Hard,33.07%,32.50%,-0.85%,3,2.975,,1
460,LFU Cache,39.80%,Hard,33.05%,32.50%,-0.82%,3,2.975,,
1216,Valid Palindrome III,50.60%,Hard,33.00%,32.50%,-0.74%,3,2.978,,1
